date_file,County,Population,PCR_Positive_Tests,PCR_Positive_Percent,PCR_Total_Tests,Beds_Occupied_Total,Beds_Occupied_Percent,Beds_Available_Total,COVID_Total_Admissions,COVID_Susp_Admissions,COVID_Conf_Admissions
2021-02-07,"Duval County, FL",957755,267.22785714285715,0.085,22007,355.7885714285714,0.76,3277,56.285714285714285,93,301
2021-02-08,"Miami-Dade County, FL",2716940,2578.468285714286,0.114,158327,733.1683673469387,0.85,6037.857142857142,137.57142857142858,214,749
2021-02-08,"Broward County, FL",1952778,1144.6799999999998,0.12,66773,514.4565986394558,0.79,4558.476190476191,105,150,585
2021-02-08,"Palm Beach County, FL",1496770,604.6722857142857,0.107,39558,415.2979591836735,0.8,3633.857142857143,69.42857142857143,62,424
2021-02-08,"Duval County, FL",957755,250.39414285714287,0.081,21639,355.7885714285714,0.76,3277,55,95,290
2021-02-09,"Miami-Dade County, FL",2716940,2489.19,0.114,152845,732.2663265306122,0.85,6030.428571428572,138.42857142857142,203,766
2021-02-09,"Broward County, FL",1952778,1135.498,0.119,66794,514.564081632653,0.79,4559.428571428572,108,136,620
2021-02-09,"Palm Beach County, FL",1496770,591.1360000000001,0.104,39788,415.39591836734695,0.8,3634.714285714286,68.14285714285714,58,419
2021-02-09,"Duval County, FL",957755,241.424,0.079,21392,355.7885714285714,0.76,3277,52.285714285714285,90,276
2021-02-10,"Miami-Dade County, FL",2716940,2485.136,0.112,155321,719.6057142857144,0.84,5996.714285714286,135.42857142857142,214,734
2021-02-10,"Broward County, FL",1952778,1178.474142857143,0.117,70507,517.2887755102041,0.79,4583.571428571428,105.28571428571429,135,602
2021-02-10,"Palm Beach County, FL",1496770,599.738,0.101,41566,415.5755102040815,0.8,3636.285714285713,64.71428571428571,61,392
2021-02-10,"Duval County, FL",957755,235.912,0.074,22316,351.10714285714283,0.75,3277,50.57142857142857,98,256
2021-02-11,"Miami-Dade County, FL",2716940,2388.9957142857143,0.11,152027,719.5542857142858,0.84,5996.285714285716,138.42857142857142,208,761
2021-02-11,"Broward County, FL",1952778,1153.8,0.12,67305,517.3048979591837,0.79,4583.714285714285,105.71428571428571,135,605
2021-02-11,"Palm Beach County, FL",1496770,605.5028571428571,0.104,40755,421.38183673469393,0.81,3641.571428571429,62.857142857142854,63,377
2021-02-11,"Duval County, FL",957755,227.85942857142854,0.072,22153,351.10714285714283,0.75,3277,50.714285714285715,99,256
2021-02-12,"Miami-Dade County, FL",2716940,2320.8672857142856,0.111,146361,728.6408163265306,0.85,6000.571428571429,137.14285714285714,203,757
2021-02-12,"Broward County, FL",1952778,1125.876,0.119,66228,524.6040816326531,0.8,4590.285714285715,103.42857142857143,139,585
2021-02-12,"Palm Beach County, FL",1496770,538.484,0.103,36596,421.4644897959184,0.81,3642.285714285714,62.142857142857146,58,377
2021-02-12,"Duval County, FL",957755,215.16042857142855,0.071,21213,355.7885714285714,0.76,3277,48,94,242
